,Region,Year,Other taxes on products
0,United Kingdom,2017,92948
1,United Kingdom,2018,94505
2,United Kingdom,2019,95701
3,United Kingdom,2020,84087
4,United Kingdom,2021,94318
5,United Kingdom,2022,100716
6,England,2017,78769
7,England,2018,80055
8,England,2019,81005
9,England,2020,70779
10,England,2021,79713
11,England,2022,85512
12,North East,2017,3208
13,North East,2018,3321
14,North East,2019,3395
15,North East,2020,2920
16,North East,2021,3009
17,North East,2022,3068
18,Tees Valley and Durham,2017,1331
19,Tees Valley and Durham,2018,1389
20,Tees Valley and Durham,2019,1389
21,Tees Valley and Durham,2020,1253
22,Tees Valley and Durham,2021,1315
23,Tees Valley and Durham,2022,1351
24,Hartlepool and Stockton-on-Tees,2017,382
25,Hartlepool and Stockton-on-Tees,2018,404
26,Hartlepool and Stockton-on-Tees,2019,402
27,Hartlepool and Stockton-on-Tees,2020,394
28,Hartlepool and Stockton-on-Tees,2021,400
29,Hartlepool and Stockton-on-Tees,2022,424
30,South Teesside,2017,305
31,South Teesside,2018,315
32,South Teesside,2019,313
33,South Teesside,2020,275
34,South Teesside,2021,289
35,South Teesside,2022,299
36,Darlington,2017,116
37,Darlington,2018,118
38,Darlington,2019,116
39,Darlington,2020,98
40,Darlington,2021,103
41,Darlington,2022,104
42,Durham CC,2017,527
43,Durham CC,2018,551
44,Durham CC,2019,557
45,Durham CC,2020,486
46,Durham CC,2021,524
47,Durham CC,2022,524
48,"Northumberland, and Tyne and Wear",2017,1877
49,"Northumberland, and Tyne and Wear",2018,1932
50,"Northumberland, and Tyne and Wear",2019,2006
51,"Northumberland, and Tyne and Wear",2020,1667
52,"Northumberland, and Tyne and Wear",2021,1694
53,"Northumberland, and Tyne and Wear",2022,1717
54,Northumberland,2017,361
55,Northumberland,2018,370
56,Northumberland,2019,369
57,Northumberland,2020,319
58,Northumberland,2021,352
59,Northumberland,2022,370
60,Tyneside,2017,977
61,Tyneside,2018,992
62,Tyneside,2019,998
63,Tyneside,2020,819
64,Tyneside,2021,891
65,Tyneside,2022,924
66,Sunderland,2017,539
67,Sunderland,2018,569
68,Sunderland,2019,638
69,Sunderland,2020,529
70,Sunderland,2021,450
71,Sunderland,2022,424
72,North West,2017,9119
73,North West,2018,9345
74,North West,2019,9519
75,North West,2020,8508
76,North West,2021,9300
77,North West,2022,9837
78,Cumbria,2017,769
79,Cumbria,2018,737
80,Cumbria,2019,747
81,Cumbria,2020,660
82,Cumbria,2021,739
83,Cumbria,2022,738
84,West Cumbria,2017,277
85,West Cumbria,2018,276
86,West Cumbria,2019,282
87,West Cumbria,2020,282
88,West Cumbria,2021,321
89,West Cumbria,2022,316
90,East Cumbria,2017,492
