,Region,Year,Value Added Tax (VAT) on products
0,United Kingdom,2017,143636
1,United Kingdom,2018,149454
2,United Kingdom,2019,155148
3,United Kingdom,2020,139872
4,United Kingdom,2021,158121
5,United Kingdom,2022,183614
6,England,2017,121217
7,England,2018,126228
8,England,2019,130924
9,England,2020,118067
10,England,2021,133228
11,England,2022,155118
12,North East,2017,5385
13,North East,2018,5767
14,North East,2019,5854
15,North East,2020,5088
16,North East,2021,5565
17,North East,2022,6459
18,Tees Valley and Durham,2017,2349
19,Tees Valley and Durham,2018,2445
20,Tees Valley and Durham,2019,2482
21,Tees Valley and Durham,2020,2157
22,Tees Valley and Durham,2021,2359
23,Tees Valley and Durham,2022,2738
24,Hartlepool and Stockton-on-Tees,2017,572
25,Hartlepool and Stockton-on-Tees,2018,595
26,Hartlepool and Stockton-on-Tees,2019,602
27,Hartlepool and Stockton-on-Tees,2020,521
28,Hartlepool and Stockton-on-Tees,2021,569
29,Hartlepool and Stockton-on-Tees,2022,661
30,South Teesside,2017,547
31,South Teesside,2018,570
32,South Teesside,2019,580
33,South Teesside,2020,504
34,South Teesside,2021,552
35,South Teesside,2022,642
36,Darlington,2017,211
37,Darlington,2018,219
38,Darlington,2019,222
39,Darlington,2020,193
40,Darlington,2021,213
41,Darlington,2022,246
42,Durham CC,2017,1020
43,Durham CC,2018,1061
44,Durham CC,2019,1079
45,Durham CC,2020,938
46,Durham CC,2021,1025
47,Durham CC,2022,1188
48,"Northumberland, and Tyne and Wear",2017,3036
49,"Northumberland, and Tyne and Wear",2018,3322
50,"Northumberland, and Tyne and Wear",2019,3372
51,"Northumberland, and Tyne and Wear",2020,2931
52,"Northumberland, and Tyne and Wear",2021,3206
53,"Northumberland, and Tyne and Wear",2022,3721
54,Northumberland,2017,668
55,Northumberland,2018,730
56,Northumberland,2019,743
57,Northumberland,2020,647
58,Northumberland,2021,712
59,Northumberland,2022,823
60,Tyneside,2017,1787
61,Tyneside,2018,1959
62,Tyneside,2019,1989
63,Tyneside,2020,1729
64,Tyneside,2021,1886
65,Tyneside,2022,2194
66,Sunderland,2017,581
67,Sunderland,2018,633
68,Sunderland,2019,641
69,Sunderland,2020,555
70,Sunderland,2021,608
71,Sunderland,2022,704
72,North West,2017,15241
73,North West,2018,15641
74,North West,2019,16081
75,North West,2020,14656
76,North West,2021,17050
77,North West,2022,19921
78,Cumbria,2017,1224
79,Cumbria,2018,1061
80,Cumbria,2019,1091
81,Cumbria,2020,994
82,Cumbria,2021,1157
83,Cumbria,2022,1351
84,West Cumbria,2017,569
85,West Cumbria,2018,493
86,West Cumbria,2019,505
87,West Cumbria,2020,460
88,West Cumbria,2021,533
89,West Cumbria,2022,621
90,East Cumbria,2017,655
91,East Cumbria,2018,568
92,East Cumbria,2019,585
93,East Cumbria,2020,534
94,East Cumbria,2021,623
95,East Cumbria,2022,730
96,Greater Manchester,2017,5682
97,Greater Manchester,2018,5669
98,Greater Manchester,2019,5828
99,Greater Manchester,2020,5312
100,Greater Manchester,2021,6180
101,Greater Manchester,2022,7220
102,Manchester,2017,1088
103,Manchester,2018,1085
104,Manchester,2019,1117
105,Manchester,2020,1018
106,Manchester,2021,1186
107,Manchester,2022,1411
108,Greater Manchester South West,2017,993
109,Greater Manchester South West,2018,993
110,Greater Manchester South West,2019,1023
111,Greater Manchester South West,2020,934
112,Greater Manchester South West,2021,1091
113,Greater Manchester South West,2022,1275
114,Greater Manchester South East,2017,1049
115,Greater Manchester South East,2018,1044
116,Greater Manchester South East,2019,1071
117,Greater Manchester South East,2020,975
118,Greater Manchester South East,2021,1134
119,Greater Manchester South East,2022,1314
120,Greater Manchester North West,2017,1240
121,Greater Manchester North West,2018,1236
122,Greater Manchester North West,2019,1271
123,Greater Manchester North West,2020,1160
124,Greater Manchester North West,2021,1348
125,Greater Manchester North West,2022,1570
126,Greater Manchester North East,2017,1312
127,Greater Manchester North East,2018,1310
128,Greater Manchester North East,2019,1346
129,Greater Manchester North East,2020,1225
130,Greater Manchester North East,2021,1421
131,Greater Manchester North East,2022,1650
132,Lancashire,2017,2984
133,Lancashire,2018,3230
134,Lancashire,2019,3321
135,Lancashire,2020,3027
136,Lancashire,2021,3521
137,Lancashire,2022,4114
138,Blackburn with Darwen,2017,304
139,Blackburn with Darwen,2018,328
140,Blackburn with Darwen,2019,338
