,Region,Year,Total resident population numbers
0,North East,2000,2543421
1,North East,2001,2540090
2,North East,2002,2540600
3,North East,2003,2540461
4,North East,2004,2540502
5,North East,2005,2547127
6,North East,2006,2552568
7,North East,2007,2562045
8,North East,2008,2569312
9,North East,2009,2575441
10,North East,2010,2586868
11,North East,2011,2596441
12,North East,2012,2598972
13,North East,2013,2603299
14,North East,2014,2610482
15,North East,2015,2611804
16,North East,2016,2618253
17,North East,2017,2623787
18,North East,2018,2629393
19,North East,2019,2636676
20,North East,2020,2637426
21,North East,2021,2647493
22,North East,2022,2683040
23,North West,2000,6774223
24,North West,2001,6772985
25,North West,2002,6784880
26,North West,2003,6814660
27,North West,2004,6840369
28,North West,2005,6870021
29,North West,2006,6901585
30,North West,2007,6929277
31,North West,2008,6958547
32,North West,2009,6986156
33,North West,2010,7019921
34,North West,2011,7055961
35,North West,2012,7079344
36,North West,2013,7105146
37,North West,2014,7141096
38,North West,2015,7182651
39,North West,2016,7234141
40,North West,2017,7275765
41,North West,2018,7316116
42,North West,2019,7363267
43,North West,2020,7380605
44,North West,2021,7424092
45,North West,2022,7516113
46,Yorkshire and The Humber,2000,4958609
47,Yorkshire and The Humber,2001,4976643
48,Yorkshire and The Humber,2002,5000111
49,Yorkshire and The Humber,2003,5026314
50,Yorkshire and The Humber,2004,5063199
51,Yorkshire and The Humber,2005,5108408
52,Yorkshire and The Humber,2006,5134016
53,Yorkshire and The Humber,2007,5164138
54,Yorkshire and The Humber,2008,5198675
55,Yorkshire and The Humber,2009,5223344
56,Yorkshire and The Humber,2010,5254788
57,Yorkshire and The Humber,2011,5288212
58,Yorkshire and The Humber,2012,5313486
59,Yorkshire and The Humber,2013,5335092
60,Yorkshire and The Humber,2014,5356428
61,Yorkshire and The Humber,2015,5377362
62,Yorkshire and The Humber,2016,5408058
63,Yorkshire and The Humber,2017,5427784
64,Yorkshire and The Humber,2018,5443883
65,Yorkshire and The Humber,2019,5464651
66,Yorkshire and The Humber,2020,5468487
67,Yorkshire and The Humber,2021,5482455
68,Yorkshire and The Humber,2022,5541262
69,East Midlands,2000,4168076
70,East Midlands,2001,4189622
71,East Midlands,2002,4221753
72,East Midlands,2003,4255080
73,East Midlands,2004,4291476
74,East Midlands,2005,4329112
75,East Midlands,2006,4366676
76,East Midlands,2007,4404774
77,East Midlands,2008,4441125
78,East Midlands,2009,4471653
79,East Midlands,2010,4507071
80,East Midlands,2011,4537448
81,East Midlands,2012,4570702
82,East Midlands,2013,4604568
83,East Midlands,2014,4642629
84,East Midlands,2015,4681640
85,East Midlands,2016,4731615
86,East Midlands,2017,4778346
87,East Midlands,2018,4815151
88,East Midlands,2019,4844001
89,East Midlands,2020,4855469
90,East Midlands,2021,4881559
