,Unnamed: 0,Region,Year,Table A.1  Total identifiable expenditure on services,"Table A.2  Total UK identifiable expenditure on services, per head ",Table A.3  Real terms (1): Total identifiable expenditure on services,Table A.4  Real terms (1): Total UK identifiable expenditure on services per head (2),Table A.5  Identifiable expenditure on general public services,Table A.5a  Identifiable expenditure on general public services (of which: public and common services),Table A.5b  Identifiable expenditure on general public services (of which: international services),Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest),Table A.6  Identifiable expenditure on defence,Table A.7  Identifiable expenditure on public order and safety,Table A.8  Identifiable expenditure on economic affairs,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development),Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology),Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies),"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)","Table A.8e  Identifiable expenditure on economic affairs (of which: transport (1,2))",Table A.9  Identifiable expenditure on environment protection,Table A.10  Identifiable expenditure on housing and community amenities,Table A.11  Identifiable expenditure on health,"Table A.12  Identifiable expenditure on recreation, culture and religion",Table A.13  Identifiable expenditure on education,Table A.14  Identifiable expenditure on social protection,Table A.15  UK identifiable expenditure on services by function per head (1),"Table A.16  UK identifiable expenditure on services by function, per head indexed",Table A.17  Total local government identifiable expenditure on services,"Table A.18  Total local government identifiable expenditure on services, per head (1)",Table A.19  Total identifiable expenditure on services excluding local government (1)
0,0,North East,2013,24159.0,9284.0,25662.0,9861.0,276.0,269.0,7.0,-,2,1243.0,1206.0,193.0,118.0,162.0,200.0,533.0,299.0,487.0,5547.0,313.0,3434.0,11354.0,,,6454.0,2480.0,17705.0
1,1,North West,2013,64480.0,9102.0,68491.0,9668.0,639.0,621.0,18.0,-,5,3395.0,3161.0,393.0,290.0,389.0,338.0,1752.0,2238.0,870.0,14672.0,676.0,9362.0,29462.0,,,17147.0,2420.0,47333.0
3,3,East Midlands,2013,36283.0,7943.0,38540.0,8438.0,472.0,460.0,12.0,-,4,1689.0,1831.0,226.0,194.0,210.0,407.0,794.0,525.0,464.0,7842.0,419.0,5824.0,17215.0,,,9151.0,2003.0,27133.0
4,4,West Midlands,2013,47826.0,8476.0,50801.0,9003.0,431.0,417.0,15.0,-,4,2330.0,2356.0,336.0,199.0,284.0,326.0,1211.0,565.0,634.0,11023.0,599.0,7498.0,22385.0,,,12681.0,2247.0,35145.0
6,6,London,2013,82529.0,9933.0,87662.0,10551.0,852.0,830.0,21.0,-,8,5961.0,6744.0,388.0,489.0,388.0,61.0,5417.0,1051.0,2331.0,20156.0,1889.0,12669.0,30867.0,,,28648.0,3448.0,53880.0
7,7,South East,2013,65712.0,7532.0,69800.0,8000.0,767.0,745.0,23.0,-,8,3051.0,3495.0,362.0,505.0,243.0,483.0,1903.0,1180.0,707.0,14611.0,795.0,10395.0,30702.0,,,17479.0,2003.0,48233.0
8,8,South West,2013,42738.0,8004.0,45396.0,8502.0,470.0,456.0,14.0,-,4,1920.0,2237.0,231.0,229.0,153.0,634.0,990.0,942.0,424.0,9095.0,469.0,6241.0,20937.0,,,10519.0,1970.0,32219.0
10,10,Scotland,2013,53959.0,10155.0,57316.0,10787.0,936.0,922.0,14.0,-,3,2691.0,5312.0,884.0,309.0,251.0,917.0,2951.0,1328.0,1523.0,11286.0,1305.0,7522.0,22052.0,,,15245.0,2869.0,38714.0
11,11,Wales,2013,29553.0,9614.0,31392.0,10212.0,508.0,500.0,8.0,-,4,1360.0,2210.0,419.0,109.0,143.0,457.0,1081.0,653.0,638.0,6020.0,582.0,4053.0,13525.0,,,8355.0,2718.0,21198.0
12,12,Northern Ireland,2013,19645.0,10773.0,20867.0,11443.0,381.0,376.0,5.0,-,-,1382.0,1587.0,288.0,44.0,151.0,535.0,569.0,255.0,824.0,3844.0,463.0,2595.0,8314.0,,,,,
0,0,North East,2014,24454.0,9367.0,26004.0,9961.0,225.0,219.0,6.0,-,2,1181.0,1448.0,314.0,160.0,220.0,205.0,550.0,331.0,436.0,5675.0,303.0,3478.0,11375.0,,,6509.0,2493.0,17945.0
1,1,North East,2015,24808.0,9473.0,26046.0,9946.0,228.0,224.0,4.0,-,2,1200.0,1321.0,187.0,174.0,164.0,185.0,612.0,364.0,496.0,5771.0,319.0,3480.0,11628.0,,,6374.0,2434.0,18435.0
2,2,North East,2016,25308.0,9643.0,26360.0,10043.0,215.0,211.0,4.0,-,1,1240.0,1495.0,190.0,195.0,149.0,178.0,782.0,319.0,486.0,6039.0,279.0,3426.0,11808.0,,,6378.0,2430.0,18929.0
3,3,North East,2017,25481.0,9664.0,25965.0,9848.0,212.0,207.0,4.0,-,2,1283.0,1585.0,241.0,157.0,161.0,203.0,823.0,307.0,394.0,6065.0,293.0,3507.0,11833.0,,,6369.0,2416.0,19111.0
4,4,North East,2018,25931.0,9805.0,25931.0,9805.0,232.0,228.0,4.0,-,1,1321.0,1628.0,241.0,176.0,171.0,193.0,847.0,299.0,420.0,6231.0,265.0,3536.0,11998.0,,,6332.0,2394.0,19599.0
5,5,North West,2014,64820.0,9125.0,68929.0,9703.0,574.0,557.0,17.0,-,5,3251.0,,644.0,386.0,501.0,332.0,,2499.0,784.0,14661.0,676.0,9217.0,29523.0,,,,,47495.0
6,6,North West,2015,66284.0,9292.0,69591.0,9756.0,564.0,554.0,10.0,-,4,3215.0,,511.0,407.0,346.0,313.0,,2596.0,758.0,15395.0,765.0,9082.0,30353.0,,,,,49027.0
7,7,North West,2016,67591.0,9420.0,70401.0,9812.0,545.0,535.0,10.0,-,6,3124.0,,595.0,419.0,260.0,303.0,,2597.0,626.0,16045.0,746.0,9045.0,30608.0,,,,,50426.0
8,8,North West,2017,68233.0,9445.0,69528.0,9625.0,498.0,486.0,12.0,-,9,3218.0,,643.0,397.0,270.0,369.0,,2642.0,725.0,16449.0,740.0,9027.0,30626.0,,,,,51143.0
9,9,North West,2018,71185.0,9807.0,71185.0,9807.0,556.0,545.0,11.0,-,8,3314.0,,623.0,430.0,317.0,344.0,,3269.0,745.0,16969.0,776.0,9063.0,30937.0,,,,,52852.0
15,15,East Midlands,2014,37032.0,8053.0,39379.0,8563.0,433.0,422.0,11.0,-,5,1597.0,2140.0,307.0,256.0,267.0,389.0,921.0,537.0,587.0,8120.0,411.0,5894.0,17307.0,,,8934.0,1943.0,28098.0
