,Region,Year,Gross domestic product (GDP) at current market prices
0,North East,2000,34400
1,North East,2001,35897
2,North East,2002,38189
3,North East,2003,40307
4,North East,2004,43493
5,North East,2005,45450
6,North East,2006,47740
7,North East,2007,48977
8,North East,2008,50115
9,North East,2009,49383
10,North East,2010,50627
11,North East,2011,52130
12,North East,2012,53468
13,North East,2013,54425
14,North East,2014,56044
15,North East,2015,57987
16,North East,2016,59034
17,North East,2017,60817
18,North East,2018,62132
19,North East,2019,64599
20,North East,2020,60217
21,North East,2021,65438
22,North East,2022,71763
23,North West,2000,107149
24,North West,2001,113207
25,North West,2002,118484
26,North West,2003,125085
27,North West,2004,132188
28,North West,2005,138622
29,North West,2006,145988
30,North West,2007,151582
31,North West,2008,154657
32,North West,2009,152624
33,North West,2010,157600
34,North West,2011,160628
35,North West,2012,165244
36,North West,2013,171152
37,North West,2014,178009
38,North West,2015,184614
39,North West,2016,191435
40,North West,2017,200353
41,North West,2018,205332
42,North West,2019,214459
43,North West,2020,207214
44,North West,2021,224940
45,North West,2022,247199
46,Yorkshire and The Humber,2000,75592
47,Yorkshire and The Humber,2001,79078
48,Yorkshire and The Humber,2002,83361
49,Yorkshire and The Humber,2003,88977
50,Yorkshire and The Humber,2004,94219
51,Yorkshire and The Humber,2005,98853
52,Yorkshire and The Humber,2006,103581
53,Yorkshire and The Humber,2007,109253
54,Yorkshire and The Humber,2008,110444
55,Yorkshire and The Humber,2009,107470
56,Yorkshire and The Humber,2010,109650
57,Yorkshire and The Humber,2011,112802
58,Yorkshire and The Humber,2012,115505
59,Yorkshire and The Humber,2013,118836
60,Yorkshire and The Humber,2014,122810
61,Yorkshire and The Humber,2015,128061
62,Yorkshire and The Humber,2016,131216
63,Yorkshire and The Humber,2017,137625
64,Yorkshire and The Humber,2018,141828
65,Yorkshire and The Humber,2019,146697
66,Yorkshire and The Humber,2020,139350
67,Yorkshire and The Humber,2021,155548
68,Yorkshire and The Humber,2022,170304
69,East Midlands,2000,65218
70,East Midlands,2001,67838
71,East Midlands,2002,70646
72,East Midlands,2003,74262
73,East Midlands,2004,77950
74,East Midlands,2005,82033
75,East Midlands,2006,86497
76,East Midlands,2007,90211
77,East Midlands,2008,93414
78,East Midlands,2009,90235
79,East Midlands,2010,94473
80,East Midlands,2011,96869
81,East Midlands,2012,100304
82,East Midlands,2013,104582
83,East Midlands,2014,108856
84,East Midlands,2015,112231
85,East Midlands,2016,115634
86,East Midlands,2017,120120
87,East Midlands,2018,125412
88,East Midlands,2019,129712
89,East Midlands,2020,124928
90,East Midlands,2021,136155
91,East Midlands,2022,146482
92,West Midlands,2000,84215
93,West Midlands,2001,87183
94,West Midlands,2002,90346
95,West Midlands,2003,94909
96,West Midlands,2004,99641
97,West Midlands,2005,104013
98,West Midlands,2006,107802
99,West Midlands,2007,111277
100,West Midlands,2008,114628
101,West Midlands,2009,110356
102,West Midlands,2010,115214
103,West Midlands,2011,119815
104,West Midlands,2012,123684
105,West Midlands,2013,129318
106,West Midlands,2014,135308
107,West Midlands,2015,140026
108,West Midlands,2016,146497
109,West Midlands,2017,153676
110,West Midlands,2018,158584
111,West Midlands,2019,161987
112,West Midlands,2020,152542
113,West Midlands,2021,166973
114,West Midlands,2022,181354
115,East,2000,94882
116,East,2001,99719
117,East,2002,103583
118,East,2003,110129
119,East,2004,114109
120,East,2005,120482
121,East,2006,126410
122,East,2007,131340
123,East,2008,135750
124,East,2009,131335
125,East,2010,134789
126,East,2011,137115
127,East,2012,141401
128,East,2013,147506
