,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head"
0,United Kingdom,2017,32839
1,United Kingdom,2018,33134
2,United Kingdom,2019,33502
3,United Kingdom,2020,29979
4,United Kingdom,2021,32459
5,United Kingdom,2022,33593
6,England,2017,33492
7,England,2018,33751
8,England,2019,34113
9,England,2020,30386
10,England,2021,33174
11,England,2022,34241
12,North East,2017,23915
13,North East,2018,24126
14,North East,2019,24500
15,North East,2020,21411
16,North East,2021,23419
17,North East,2022,24172
18,Tees Valley and Durham,2017,21696
19,Tees Valley and Durham,2018,22140
20,Tees Valley and Durham,2019,22324
21,Tees Valley and Durham,2020,20363
22,Tees Valley and Durham,2021,21793
23,Tees Valley and Durham,2022,22363
24,Hartlepool and Stockton-on-Tees,2017,25657
25,Hartlepool and Stockton-on-Tees,2018,25416
26,Hartlepool and Stockton-on-Tees,2019,25846
27,Hartlepool and Stockton-on-Tees,2020,24177
28,Hartlepool and Stockton-on-Tees,2021,25619
29,Hartlepool and Stockton-on-Tees,2022,25976
30,South Teesside,2017,19962
31,South Teesside,2018,20732
32,South Teesside,2019,20325
33,South Teesside,2020,17343
34,South Teesside,2021,19160
35,South Teesside,2022,19924
36,Darlington,2017,26093
37,Darlington,2018,26793
38,Darlington,2019,26554
39,Darlington,2020,23054
40,Darlington,2021,26084
41,Darlington,2022,27062
42,Durham CC,2017,19522
43,Durham CC,2018,20203
44,Durham CC,2019,20565
45,Durham CC,2020,19417
46,Durham CC,2021,20648
47,Durham CC,2022,21047
48,"Northumberland, and Tyne and Wear",2017,25751
49,"Northumberland, and Tyne and Wear",2018,25767
50,"Northumberland, and Tyne and Wear",2019,26300
51,"Northumberland, and Tyne and Wear",2020,22277
52,"Northumberland, and Tyne and Wear",2021,24767
53,"Northumberland, and Tyne and Wear",2022,25674
54,Northumberland,2017,19730
55,Northumberland,2018,19711
56,Northumberland,2019,20306
57,Northumberland,2020,17649
58,Northumberland,2021,18891
59,Northumberland,2022,20158
60,Tyneside,2017,26655
61,Tyneside,2018,26845
62,Tyneside,2019,27454
63,Tyneside,2020,23237
64,Tyneside,2021,26522
65,Tyneside,2022,27483
66,Sunderland,2017,29505
67,Sunderland,2018,29209
68,Sunderland,2019,29667
69,Sunderland,2020,24925
70,Sunderland,2021,26170
71,Sunderland,2022,26756
72,North West,2017,28614
73,North West,2018,28706
74,North West,2019,29126
75,North West,2020,26323
