,Region,Year,Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value
0,United Kingdom,2017,2167415
1,United Kingdom,2018,2197841
2,United Kingdom,2019,2233921
3,United Kingdom,2020,2002489
4,United Kingdom,2021,2176203
5,United Kingdom,2022,2270793
6,England,2017,1862836
7,England,2018,1887489
8,England,2019,1918193
9,England,2020,1711500
10,England,2021,1876131
11,England,2022,1955383
12,North East,2017,62747
13,North East,2018,63436
14,North East,2019,64599
15,North East,2020,56469
16,North East,2021,62003
17,North East,2022,64855
18,Tees Valley and Durham,2017,25788
19,Tees Valley and Durham,2018,26351
20,Tees Valley and Durham,2019,26636
21,Tees Valley and Durham,2020,24306
22,Tees Valley and Durham,2021,26148
23,Tees Valley and Durham,2022,27213
24,Hartlepool and Stockton-on-Tees,2017,7424
25,Hartlepool and Stockton-on-Tees,2018,7366
26,Hartlepool and Stockton-on-Tees,2019,7476
27,Hartlepool and Stockton-on-Tees,2020,6977
28,Hartlepool and Stockton-on-Tees,2021,7419
29,Hartlepool and Stockton-on-Tees,2022,7633
30,South Teesside,2017,5525
31,South Teesside,2018,5750
32,South Teesside,2019,5667
33,South Teesside,2020,4839
34,South Teesside,2021,5375
35,South Teesside,2022,5688
36,Darlington,2017,2780
37,Darlington,2018,2851
38,Darlington,2019,2829
39,Darlington,2020,2463
40,Darlington,2021,2823
41,Darlington,2022,2962
42,Durham CC,2017,10071
43,Durham CC,2018,10438
44,Durham CC,2019,10664
45,Durham CC,2020,10082
46,Durham CC,2021,10767
47,Durham CC,2022,11115
48,"Northumberland, and Tyne and Wear",2017,36958
49,"Northumberland, and Tyne and Wear",2018,37084
50,"Northumberland, and Tyne and Wear",2019,37963
51,"Northumberland, and Tyne and Wear",2020,32163
52,"Northumberland, and Tyne and Wear",2021,35855
53,"Northumberland, and Tyne and Wear",2022,37642
54,Northumberland,2017,6228
55,Northumberland,2018,6232
56,Northumberland,2019,6458
57,Northumberland,2020,5621
58,Northumberland,2021,6074
59,Northumberland,2022,6539
60,Tyneside,2017,22516
61,Tyneside,2018,22784
62,Tyneside,2019,23368
63,Tyneside,2020,19791
64,Tyneside,2021,22591
65,Tyneside,2022,23757
66,Sunderland,2017,8108
67,Sunderland,2018,8013
68,Sunderland,2019,8137
69,Sunderland,2020,6819
70,Sunderland,2021,7180
71,Sunderland,2022,7421
72,North West,2017,208190
73,North West,2018,210014
74,North West,2019,214459
75,North West,2020,194281
76,North West,2021,213457
77,North West,2022,223589
78,Cumbria,2017,14081
79,Cumbria,2018,13783
80,Cumbria,2019,14162
81,Cumbria,2020,12286
82,Cumbria,2021,13253
83,Cumbria,2022,13545
84,West Cumbria,2017,5846
85,West Cumbria,2018,5779
86,West Cumbria,2019,5798
87,West Cumbria,2020,5273
88,West Cumbria,2021,5425
89,West Cumbria,2022,5351
90,East Cumbria,2017,8212
91,East Cumbria,2018,8007
92,East Cumbria,2019,8364
93,East Cumbria,2020,7105
94,East Cumbria,2021,7821
95,East Cumbria,2022,8119
96,Greater Manchester,2017,80774
97,Greater Manchester,2018,82774
98,Greater Manchester,2019,84377
99,Greater Manchester,2020,78097
100,Greater Manchester,2021,85916
101,Greater Manchester,2022,90783
102,Manchester,2017,25314
103,Manchester,2018,25890
104,Manchester,2019,27236
105,Manchester,2020,24406
106,Manchester,2021,27678
107,Manchester,2022,30309
108,Greater Manchester South West,2017,17871
109,Greater Manchester South West,2018,18767
110,Greater Manchester South West,2019,19103
111,Greater Manchester South West,2020,18557
112,Greater Manchester South West,2021,20347
113,Greater Manchester South West,2022,21109
