,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) per head annual growth rates, percentage"
0,United Kingdom,2017,2.1
1,United Kingdom,2018,0.9
2,United Kingdom,2019,1.1
3,United Kingdom,2020,-10.5
4,United Kingdom,2021,8.3
5,United Kingdom,2022,3.5
6,England,2017,2.2
7,England,2018,0.8
8,England,2019,1.1
9,England,2020,-10.9
10,England,2021,9.2
11,England,2022,3.2
12,North East,2017,2.1
13,North East,2018,0.9
14,North East,2019,1.6
15,North East,2020,-12.6
16,North East,2021,9.4
17,North East,2022,3.2
18,Tees Valley and Durham,2017,0.2
19,Tees Valley and Durham,2018,2.0
20,Tees Valley and Durham,2019,0.8
21,Tees Valley and Durham,2020,-8.8
22,Tees Valley and Durham,2021,7.0
23,Tees Valley and Durham,2022,2.6
24,Hartlepool and Stockton-on-Tees,2017,-2.8
25,Hartlepool and Stockton-on-Tees,2018,-0.9
26,Hartlepool and Stockton-on-Tees,2019,1.7
27,Hartlepool and Stockton-on-Tees,2020,-6.5
28,Hartlepool and Stockton-on-Tees,2021,6.0
29,Hartlepool and Stockton-on-Tees,2022,1.4
30,South Teesside,2017,-0.8
31,South Teesside,2018,3.9
32,South Teesside,2019,-2.0
33,South Teesside,2020,-14.7
34,South Teesside,2021,10.5
35,South Teesside,2022,4.0
36,Darlington,2017,1.6
37,Darlington,2018,2.7
38,Darlington,2019,-0.9
39,Darlington,2020,-13.2
40,Darlington,2021,13.1
41,Darlington,2022,3.7
42,Durham CC,2017,1.7
43,Durham CC,2018,3.5
44,Durham CC,2019,1.8
45,Durham CC,2020,-5.6
46,Durham CC,2021,6.3
47,Durham CC,2022,1.9
48,"Northumberland, and Tyne and Wear",2017,3.5
49,"Northumberland, and Tyne and Wear",2018,0.1
50,"Northumberland, and Tyne and Wear",2019,2.1
51,"Northumberland, and Tyne and Wear",2020,-15.3
52,"Northumberland, and Tyne and Wear",2021,11.2
53,"Northumberland, and Tyne and Wear",2022,3.7
54,Northumberland,2017,0.9
55,Northumberland,2018,-0.1
56,Northumberland,2019,3.0
57,Northumberland,2020,-13.1
58,Northumberland,2021,7.0
59,Northumberland,2022,6.7
60,Tyneside,2017,4.1
61,Tyneside,2018,0.7
62,Tyneside,2019,2.3
63,Tyneside,2020,-15.4
64,Tyneside,2021,14.1
65,Tyneside,2022,3.6
66,Sunderland,2017,3.0
67,Sunderland,2018,-1.0
68,Sunderland,2019,1.6
69,Sunderland,2020,-16.0
70,Sunderland,2021,5.0
71,Sunderland,2022,2.2
72,North West,2017,2.6
73,North West,2018,0.3
74,North West,2019,1.5
75,North West,2020,-9.6
76,North West,2021,9.2
77,North West,2022,3.5
78,Cumbria,2017,1.8
79,Cumbria,2018,-2.2
80,Cumbria,2019,2.7
81,Cumbria,2020,-13.1
82,Cumbria,2021,7.4
83,Cumbria,2022,1.7
84,West Cumbria,2017,0.2
85,West Cumbria,2018,-1.0
86,West Cumbria,2019,0.5
87,West Cumbria,2020,-8.8
88,West Cumbria,2021,2.7
89,West Cumbria,2022,-1.5
90,East Cumbria,2017,1.5
91,East Cumbria,2018,-2.7
92,East Cumbria,2019,4.2
93,East Cumbria,2020,-15.0
94,East Cumbria,2021,9.3
95,East Cumbria,2022,3.1
96,Greater Manchester,2017,4.2
97,Greater Manchester,2018,1.8
98,Greater Manchester,2019,1.1
99,Greater Manchester,2020,-7.7
100,Greater Manchester,2021,9.5
101,Greater Manchester,2022,4.1
102,Manchester,2017,7.5
103,Manchester,2018,1.6
104,Manchester,2019,4.2
105,Manchester,2020,-10.6
106,Manchester,2021,12.7
107,Manchester,2022,6.0
108,Greater Manchester South West,2017,2.6
109,Greater Manchester South West,2018,4.0
110,Greater Manchester South West,2019,0.8
111,Greater Manchester South West,2020,-3.3
112,Greater Manchester South West,2021,8.7
113,Greater Manchester South West,2022,2.2
114,Greater Manchester South East,2017,5.0
115,Greater Manchester South East,2018,1.2
116,Greater Manchester South East,2019,-1.7
117,Greater Manchester South East,2020,-7.2
118,Greater Manchester South East,2021,7.7
119,Greater Manchester South East,2022,4.5
120,Greater Manchester North West,2017,1.6
121,Greater Manchester North West,2018,0.9
122,Greater Manchester North West,2019,-3.4
123,Greater Manchester North West,2020,-6.3
124,Greater Manchester North West,2021,8.1
125,Greater Manchester North West,2022,2.1
126,Greater Manchester North East,2017,1.5
127,Greater Manchester North East,2018,-0.2
128,Greater Manchester North East,2019,1.6
129,Greater Manchester North East,2020,-11.5
130,Greater Manchester North East,2021,8.1
131,Greater Manchester North East,2022,2.7
132,Lancashire,2017,0.7
133,Lancashire,2018,-1.3
134,Lancashire,2019,0.7
135,Lancashire,2020,-10.8
136,Lancashire,2021,11.3
137,Lancashire,2022,2.6
138,Blackburn with Darwen,2017,-0.2
139,Blackburn with Darwen,2018,-0.2
140,Blackburn with Darwen,2019,0.4
141,Blackburn with Darwen,2020,-12.2
142,Blackburn with Darwen,2021,17.1
143,Blackburn with Darwen,2022,6.5
144,Blackpool,2017,3.9
145,Blackpool,2018,1.5
146,Blackpool,2019,3.8
147,Blackpool,2020,-18.2
148,Blackpool,2021,11.5
149,Blackpool,2022,10.3
150,Lancaster and Wyre,2017,-1.0
151,Lancaster and Wyre,2018,-0.1
152,Lancaster and Wyre,2019,2.3
153,Lancaster and Wyre,2020,-11.3
154,Lancaster and Wyre,2021,6.4
155,Lancaster and Wyre,2022,3.5
156,Mid Lancashire,2017,0.5
157,Mid Lancashire,2018,-3.8
158,Mid Lancashire,2019,-1.1
159,Mid Lancashire,2020,-7.5
160,Mid Lancashire,2021,10.2
161,Mid Lancashire,2022,0.8
162,East Lancashire,2017,0.8
163,East Lancashire,2018,0.0
164,East Lancashire,2019,-0.3
165,East Lancashire,2020,-12.1
166,East Lancashire,2021,12.5
167,East Lancashire,2022,-0.2
168,Chorley and West Lancashire,2017,1.0
169,Chorley and West Lancashire,2018,0.6
170,Chorley and West Lancashire,2019,4.4
171,Chorley and West Lancashire,2020,-11.6
172,Chorley and West Lancashire,2021,14.4
173,Chorley and West Lancashire,2022,3.0
174,Cheshire,2017,1.2
175,Cheshire,2018,-0.1
176,Cheshire,2019,1.2
177,Cheshire,2020,-8.8
178,Cheshire,2021,4.1
179,Cheshire,2022,3.7
180,Warrington,2017,5.8
181,Warrington,2018,-0.9
182,Warrington,2019,4.3
183,Warrington,2020,-5.1
184,Warrington,2021,7.3
185,Warrington,2022,1.0
186,Cheshire East,2017,-2.5
187,Cheshire East,2018,0.5
188,Cheshire East,2019,0.3
189,Cheshire East,2020,-7.0
190,Cheshire East,2021,-1.1
191,Cheshire East,2022,2.9
192,Cheshire West and Chester,2017,3.3
193,Cheshire West and Chester,2018,-0.1
194,Cheshire West and Chester,2019,0.3
195,Cheshire West and Chester,2020,-13.7
196,Cheshire West and Chester,2021,10.2
197,Cheshire West and Chester,2022,4.3
198,Merseyside,2017,2.7
199,Merseyside,2018,0.1
200,Merseyside,2019,2.8
201,Merseyside,2020,-12.1
202,Merseyside,2021,12.1
203,Merseyside,2022,3.2
204,East Merseyside,2017,2.8
205,East Merseyside,2018,0.3
206,East Merseyside,2019,1.1
