,Region,Year,Subsidies on products
0,United Kingdom,2017,10866
1,United Kingdom,2018,11944
2,United Kingdom,2019,12636
3,United Kingdom,2020,17628
4,United Kingdom,2021,14996
5,United Kingdom,2022,24207
6,England,2017,8709
7,England,2018,9574
8,England,2019,10175
9,England,2020,14087
10,England,2021,11775
11,England,2022,19304
12,North East,2017,464
13,North East,2018,486
14,North East,2019,575
15,North East,2020,590
16,North East,2021,471
17,North East,2022,872
18,Tees Valley and Durham,2017,136
19,Tees Valley and Durham,2018,152
20,Tees Valley and Durham,2019,152
21,Tees Valley and Durham,2020,220
22,Tees Valley and Durham,2021,189
23,Tees Valley and Durham,2022,388
24,Hartlepool and Stockton-on-Tees,2017,84
25,Hartlepool and Stockton-on-Tees,2018,91
26,Hartlepool and Stockton-on-Tees,2019,96
27,Hartlepool and Stockton-on-Tees,2020,127
28,Hartlepool and Stockton-on-Tees,2021,100
29,Hartlepool and Stockton-on-Tees,2022,133
30,South Teesside,2017,31
31,South Teesside,2018,34
32,South Teesside,2019,30
33,South Teesside,2020,44
34,South Teesside,2021,40
35,South Teesside,2022,98
36,Darlington,2017,3
37,Darlington,2018,3
38,Darlington,2019,4
39,Darlington,2020,8
40,Darlington,2021,8
41,Darlington,2022,26
42,Durham CC,2017,18
43,Durham CC,2018,23
44,Durham CC,2019,22
45,Durham CC,2020,41
46,Durham CC,2021,42
47,Durham CC,2022,130
48,"Northumberland, and Tyne and Wear",2017,328
49,"Northumberland, and Tyne and Wear",2018,334
50,"Northumberland, and Tyne and Wear",2019,424
51,"Northumberland, and Tyne and Wear",2020,370
52,"Northumberland, and Tyne and Wear",2021,281
53,"Northumberland, and Tyne and Wear",2022,484
54,Northumberland,2017,15
55,Northumberland,2018,14
56,Northumberland,2019,11
57,Northumberland,2020,51
58,Northumberland,2021,67
59,Northumberland,2022,144
60,Tyneside,2017,59
61,Tyneside,2018,60
62,Tyneside,2019,67
63,Tyneside,2020,84
64,Tyneside,2021,77
65,Tyneside,2022,197
66,Sunderland,2017,255
67,Sunderland,2018,259
68,Sunderland,2019,345
69,Sunderland,2020,235
70,Sunderland,2021,137
71,Sunderland,2022,142
72,North West,2017,782
73,North West,2018,914
74,North West,2019,944
75,North West,2020,1400
76,North West,2021,1082
77,North West,2022,2266
78,Cumbria,2017,71
79,Cumbria,2018,92
80,Cumbria,2019,91
81,Cumbria,2020,192
82,Cumbria,2021,170
83,Cumbria,2022,266
84,West Cumbria,2017,32
85,West Cumbria,2018,47
86,West Cumbria,2019,46
87,West Cumbria,2020,96
88,West Cumbria,2021,89
89,West Cumbria,2022,127
90,East Cumbria,2017,39
91,East Cumbria,2018,44
92,East Cumbria,2019,46
93,East Cumbria,2020,96
94,East Cumbria,2021,81
95,East Cumbria,2022,138
96,Greater Manchester,2017,241
97,Greater Manchester,2018,299
98,Greater Manchester,2019,323
99,Greater Manchester,2020,414
100,Greater Manchester,2021,293
101,Greater Manchester,2022,736
102,Manchester,2017,82
103,Manchester,2018,91
104,Manchester,2019,91
105,Manchester,2020,114
106,Manchester,2021,92
107,Manchester,2022,154
108,Greater Manchester South West,2017,29
109,Greater Manchester South West,2018,47
110,Greater Manchester South West,2019,49
111,Greater Manchester South West,2020,64
112,Greater Manchester South West,2021,54
113,Greater Manchester South West,2022,135
114,Greater Manchester South East,2017,17
115,Greater Manchester South East,2018,17
116,Greater Manchester South East,2019,17
117,Greater Manchester South East,2020,25
118,Greater Manchester South East,2021,19
119,Greater Manchester South East,2022,100
120,Greater Manchester North West,2017,68
121,Greater Manchester North West,2018,80
122,Greater Manchester North West,2019,93
123,Greater Manchester North West,2020,177
124,Greater Manchester North West,2021,106
125,Greater Manchester North West,2022,229
126,Greater Manchester North East,2017,45
127,Greater Manchester North East,2018,64
128,Greater Manchester North East,2019,72
129,Greater Manchester North East,2020,34
130,Greater Manchester North East,2021,22
131,Greater Manchester North East,2022,118
132,Lancashire,2017,191
133,Lancashire,2018,212
134,Lancashire,2019,202
135,Lancashire,2020,340
136,Lancashire,2021,247
137,Lancashire,2022,487
138,Blackburn with Darwen,2017,9
139,Blackburn with Darwen,2018,9
140,Blackburn with Darwen,2019,8
141,Blackburn with Darwen,2020,11
142,Blackburn with Darwen,2021,11
143,Blackburn with Darwen,2022,34
144,Blackpool,2017,8
145,Blackpool,2018,8
146,Blackpool,2019,7
147,Blackpool,2020,11
148,Blackpool,2021,12
149,Blackpool,2022,32
150,Lancaster and Wyre,2017,104
151,Lancaster and Wyre,2018,119
152,Lancaster and Wyre,2019,114
153,Lancaster and Wyre,2020,184
154,Lancaster and Wyre,2021,113
155,Lancaster and Wyre,2022,161
156,Mid Lancashire,2017,42
157,Mid Lancashire,2018,46
158,Mid Lancashire,2019,45
159,Mid Lancashire,2020,77
160,Mid Lancashire,2021,66
161,Mid Lancashire,2022,127
162,East Lancashire,2017,15
163,East Lancashire,2018,15
164,East Lancashire,2019,15
165,East Lancashire,2020,21
166,East Lancashire,2021,14
167,East Lancashire,2022,68
168,Chorley and West Lancashire,2017,15
169,Chorley and West Lancashire,2018,15
170,Chorley and West Lancashire,2019,14
171,Chorley and West Lancashire,2020,36
172,Chorley and West Lancashire,2021,33
173,Chorley and West Lancashire,2022,65
174,Cheshire,2017,184
175,Cheshire,2018,204
176,Cheshire,2019,212
177,Cheshire,2020,292
178,Cheshire,2021,212
179,Cheshire,2022,382
180,Warrington,2017,68
181,Warrington,2018,88
182,Warrington,2019,94
183,Warrington,2020,106
184,Warrington,2021,68
185,Warrington,2022,90
186,Cheshire East,2017,103
187,Cheshire East,2018,99
188,Cheshire East,2019,98
189,Cheshire East,2020,139
190,Cheshire East,2021,99
191,Cheshire East,2022,155
192,Cheshire West and Chester,2017,14
193,Cheshire West and Chester,2018,17
194,Cheshire West and Chester,2019,20
195,Cheshire West and Chester,2020,47
196,Cheshire West and Chester,2021,45
197,Cheshire West and Chester,2022,137
198,Merseyside,2017,95
199,Merseyside,2018,108
200,Merseyside,2019,116
201,Merseyside,2020,163
202,Merseyside,2021,160
203,Merseyside,2022,396
