,Region,Year,Total resident population numbers
0,United Kingdom,2017,66000892
1,United Kingdom,2018,66332727
2,United Kingdom,2019,66679607
3,United Kingdom,2020,66796967
4,United Kingdom,2021,67044988
5,United Kingdom,2022,67596279
6,England,2017,55619548
7,England,2018,55924528
8,England,2019,56230056
9,England,2020,56325961
10,England,2021,56554891
11,England,2022,57106398
12,North East,2017,2623787
13,North East,2018,2629393
14,North East,2019,2636676
15,North East,2020,2637426
16,North East,2021,2647493
17,North East,2022,2683040
18,Tees Valley and Durham,2017,1188601
19,Tees Valley and Durham,2018,1190189
20,Tees Valley and Durham,2019,1193188
21,Tees Valley and Durham,2020,1193651
22,Tees Valley and Durham,2021,1199812
23,Tees Valley and Durham,2022,1216883
24,Hartlepool and Stockton-on-Tees,2017,289352
25,Hartlepool and Stockton-on-Tees,2018,289797
26,Hartlepool and Stockton-on-Tees,2019,289261
27,Hartlepool and Stockton-on-Tees,2020,288590
28,Hartlepool and Stockton-on-Tees,2021,289607
29,Hartlepool and Stockton-on-Tees,2022,293827
30,South Teesside,2017,276797
31,South Teesside,2018,277333
32,South Teesside,2019,278833
33,South Teesside,2020,279030
34,South Teesside,2021,280548
35,South Teesside,2022,285460
36,Darlington,2017,106541
37,Darlington,2018,106411
38,Darlington,2019,106532
39,Darlington,2020,106827
40,Darlington,2021,108210
41,Darlington,2022,109469
42,Durham CC,2017,515911
43,Durham CC,2018,516648
44,Durham CC,2019,518562
45,Durham CC,2020,519204
46,Durham CC,2021,521447
47,Durham CC,2022,528127
48,"Northumberland, and Tyne and Wear",2017,1435186
49,"Northumberland, and Tyne and Wear",2018,1439204
50,"Northumberland, and Tyne and Wear",2019,1443488
51,"Northumberland, and Tyne and Wear",2020,1443775
52,"Northumberland, and Tyne and Wear",2021,1447681
53,"Northumberland, and Tyne and Wear",2022,1466157
54,Northumberland,2017,315663
55,Northumberland,2018,316153
56,Northumberland,2019,318027
57,Northumberland,2020,318490
58,Northumberland,2021,321532
59,Northumberland,2022,324362
60,Tyneside,2017,844707
61,Tyneside,2018,848712
62,Tyneside,2019,851184
63,Tyneside,2020,851702
64,Tyneside,2021,851771
65,Tyneside,2022,864441
66,Sunderland,2017,274816
67,Sunderland,2018,274339
68,Sunderland,2019,274277
69,Sunderland,2020,273583
70,Sunderland,2021,274378
71,Sunderland,2022,277354
72,North West,2017,7275765
73,North West,2018,7316116
74,North West,2019,7363267
75,North West,2020,7380605
76,North West,2021,7424092
77,North West,2022,7516113
78,Cumbria,2017,498693
79,Cumbria,2018,498941
80,Cumbria,2019,499171
81,Cumbria,2020,498439
82,Cumbria,2021,500729
83,Cumbria,2022,503033
84,West Cumbria,2017,232020
85,West Cumbria,2018,231722
86,West Cumbria,2019,231281
87,West Cumbria,2020,230566
88,West Cumbria,2021,230922
89,West Cumbria,2022,231319
90,East Cumbria,2017,266673
91,East Cumbria,2018,267219
92,East Cumbria,2019,267890
93,East Cumbria,2020,267873
94,East Cumbria,2021,269807
95,East Cumbria,2022,271714
96,Greater Manchester,2017,2804283
97,Greater Manchester,2018,2823878
98,Greater Manchester,2019,2847959
99,Greater Manchester,2020,2856110
100,Greater Manchester,2021,2869531
101,Greater Manchester,2022,2911744
102,Manchester,2017,536961
103,Manchester,2018,540675
104,Manchester,2019,545947
105,Manchester,2020,547340
106,Manchester,2021,550630
107,Manchester,2022,568996
108,Greater Manchester South West,2017,490007
109,Greater Manchester South West,2018,494847
110,Greater Manchester South West,2019,499732
111,Greater Manchester South West,2020,502027
112,Greater Manchester South West,2021,506452
113,Greater Manchester South West,2022,514365
114,Greater Manchester South East,2017,517597
115,Greater Manchester South East,2018,520066
116,Greater Manchester South East,2019,523124
117,Greater Manchester South East,2020,524372
118,Greater Manchester South East,2021,526488
119,Greater Manchester South East,2022,529860
120,Greater Manchester North West,2017,612169
121,Greater Manchester North West,2018,615498
122,Greater Manchester North West,2019,621274
123,Greater Manchester North West,2020,623562
124,Greater Manchester North West,2021,625965
125,Greater Manchester North West,2022,633013
126,Greater Manchester North East,2017,647549
127,Greater Manchester North East,2018,652792
128,Greater Manchester North East,2019,657882
129,Greater Manchester North East,2020,658809
130,Greater Manchester North East,2021,659996
131,Greater Manchester North East,2022,665510
132,Lancashire,2017,1496853
