,Region,Year,Whole economy gross value added (GVA) implied deflators
0,North East,2000,73.6
1,North East,2001,73.6
2,North East,2002,75.3
3,North East,2003,76.8
4,North East,2004,78.7
5,North East,2005,81.2
6,North East,2006,83.0
7,North East,2007,85.1
8,North East,2008,88.4
9,North East,2009,91.2
10,North East,2010,90.9
11,North East,2011,91.3
12,North East,2012,91.7
13,North East,2013,93.5
14,North East,2014,94.3
15,North East,2015,94.5
16,North East,2016,96.3
17,North East,2017,96.9
18,North East,2018,97.9
19,North East,2019,100.0
20,North East,2020,106.6
21,North East,2021,105.5
22,North East,2022,110.7
23,North West,2000,70.8
24,North West,2001,72.2
25,North West,2002,73.8
26,North West,2003,75.5
27,North West,2004,77.1
28,North West,2005,79.1
29,North West,2006,80.7
30,North West,2007,82.4
31,North West,2008,85.2
32,North West,2009,87.8
33,North West,2010,87.6
34,North West,2011,88.6
35,North West,2012,89.5
36,North West,2013,91.1
37,North West,2014,92.0
38,North West,2015,93.0
39,North West,2016,94.9
40,North West,2017,96.2
41,North West,2018,97.8
42,North West,2019,100.0
43,North West,2020,106.7
44,North West,2021,105.4
45,North West,2022,110.6
46,Yorkshire and The Humber,2000,69.1
47,Yorkshire and The Humber,2001,69.9
48,Yorkshire and The Humber,2002,71.7
49,Yorkshire and The Humber,2003,73.5
50,Yorkshire and The Humber,2004,75.5
51,Yorkshire and The Humber,2005,78.0
52,Yorkshire and The Humber,2006,79.9
53,Yorkshire and The Humber,2007,81.9
54,Yorkshire and The Humber,2008,85.2
55,Yorkshire and The Humber,2009,87.6
56,Yorkshire and The Humber,2010,88.1
57,Yorkshire and The Humber,2011,88.5
58,Yorkshire and The Humber,2012,89.3
59,Yorkshire and The Humber,2013,90.8
60,Yorkshire and The Humber,2014,92.0
61,Yorkshire and The Humber,2015,93.0
62,Yorkshire and The Humber,2016,94.0
63,Yorkshire and The Humber,2017,95.9
64,Yorkshire and The Humber,2018,97.5
65,Yorkshire and The Humber,2019,100.0
66,Yorkshire and The Humber,2020,106.5
67,Yorkshire and The Humber,2021,105.5
68,Yorkshire and The Humber,2022,111.2
69,East Midlands,2000,67.8
70,East Midlands,2001,68.8
71,East Midlands,2002,70.7
72,East Midlands,2003,72.2
73,East Midlands,2004,73.7
74,East Midlands,2005,75.8
75,East Midlands,2006,77.1
76,East Midlands,2007,80.0
77,East Midlands,2008,83.1
78,East Midlands,2009,85.4
79,East Midlands,2010,85.5
80,East Midlands,2011,85.7
81,East Midlands,2012,87.4
82,East Midlands,2013,89.0
83,East Midlands,2014,90.5
84,East Midlands,2015,92.1
85,East Midlands,2016,93.4
86,East Midlands,2017,95.4
87,East Midlands,2018,97.6
88,East Midlands,2019,100.0
89,East Midlands,2020,106.6
90,East Midlands,2021,105.0
91,East Midlands,2022,110.9
92,West Midlands,2000,68.6
93,West Midlands,2001,69.3
94,West Midlands,2002,71.3
95,West Midlands,2003,73.2
96,West Midlands,2004,75.2
97,West Midlands,2005,77.5
98,West Midlands,2006,78.9
99,West Midlands,2007,81.1
100,West Midlands,2008,83.9
101,West Midlands,2009,86.4
102,West Midlands,2010,86.4
103,West Midlands,2011,86.5
104,West Midlands,2012,88.0
105,West Midlands,2013,90.0
106,West Midlands,2014,91.0
107,West Midlands,2015,92.0
108,West Midlands,2016,93.9
109,West Midlands,2017,95.4
110,West Midlands,2018,97.4
111,West Midlands,2019,100.0
