,Region,Year,Gross value added (Balanced) at current basic prices,Value Added Tax (VAT) on products,Other taxes on products,Subsidies on products,Gross domestic product (GDP) at current market prices,Total resident population numbers,Gross domestic product (GDP) per head at current market prices,Whole economy gross value added (GVA) implied deflators,"Gross domestic product (GDP) chained volume measures (CVM) index, 2019 equals 100",Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head","Gross domestic product (GDP) chained volume measures (CVM) annual growth rates, percentage","Gross domestic product (GDP) chained volume measures (CVM) per head annual growth rates, percentage"
0,North East,2000,30138,2390,1972,100,34400,2543421,13525,73.6,72.4,46739,18377,2.7,3.0
1,North East,2001,31390,2673,1938,103,35897,2540090,14132,73.6,75.5,48744,19190,4.3,4.4
2,North East,2002,33510,2821,2007,148,38189,2540600,15032,75.3,78.5,50721,19964,4.1,4.0
3,North East,2003,35433,3002,2043,171,40307,2540461,15866,76.8,81.2,52480,20658,3.5,3.5
4,North East,2004,38385,3164,2137,194,43493,2540502,17120,78.7,85.6,55291,21764,5.4,5.4
5,North East,2005,40202,3248,2140,140,45450,2547127,17844,81.2,86.6,55940,21962,1.2,0.9
6,North East,2006,42343,3336,2223,162,47740,2552568,18703,83.0,89.1,57535,22540,2.9,2.6
7,North East,2007,43213,3597,2337,171,48977,2562045,19116,85.1,89.1,57584,22476,0.1,-0.3
8,North East,2008,44394,3602,2300,181,50115,2569312,19505,88.4,87.7,56678,22060,-1.6,-1.9
9,North East,2009,44178,3100,2308,204,49383,2575441,19174,91.2,83.8,54159,21029,-4.4,-4.7
10,North East,2010,44806,3618,2448,245,50627,2586868,19571,90.9,86.2,55702,21533,2.9,2.4
11,North East,2011,45596,4207,2528,202,52130,2596441,20077,91.3,88.4,57090,21988,2.5,2.1
12,North East,2012,46738,4342,2610,222,53468,2598972,20573,91.7,90.3,58315,22438,2.1,2.0
13,North East,2013,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
14,North East,2014,48819,4718,2783,275,56044,2610482,21469,94.3,92.0,59436,22768,2.1,1.8
15,North East,2015,50550,4890,2863,316,57987,2611804,22202,94.5,95.0,61390,23505,3.3,3.2
16,North East,2016,51282,5101,3016,365,59034,2618253,22547,96.3,94.9,61325,23422,-0.1,-0.4
17,North East,2017,52688,5385,3208,464,60817,2623787,23179,96.9,97.1,62747,23915,2.3,2.1
18,North East,2018,53530,5767,3321,486,62132,2629393,23630,97.9,98.2,63436,24126,1.1,0.9
19,North East,2019,55926,5854,3395,575,64599,2636676,24500,100.0,100.0,64599,24500,1.8,1.6
20,North East,2020,52799,5088,2920,590,60217,2637426,22832,106.6,87.4,56469,21411,-12.6,-12.6
21,North East,2021,57334,5565,3009,471,65438,2647493,24717,105.5,96.0,62003,23419,9.8,9.4
22,North East,2022,63107,6459,3068,872,71763,2683040,26747,110.7,100.4,64855,24172,4.6,3.2
23,North West,2000,94663,7088,5737,339,107149,6774223,15817,70.8,70.6,151421,22352,2.2,2.2
24,North West,2001,100515,7416,5639,364,113207,6772985,16714,72.2,73.2,156882,23163,3.6,3.6
25,North West,2002,105185,7940,5822,463,118484,6784880,17463,73.8,74.8,160499,23655,2.3,2.1
26,North West,2003,110994,8649,5966,524,125085,6814660,18355,75.5,77.2,165645,24307,3.2,2.8
27,North West,2004,117216,9262,6247,536,132188,6840369,19325,77.1,79.9,171352,25050,3.4,3.1
28,North West,2005,123292,9475,6257,402,138622,6870021,20178,79.1,81.8,175349,25524,2.3,1.9
29,North West,2006,130331,9630,6514,487,145988,6901585,21153,80.7,84.3,180864,26206,3.1,2.7
30,North West,2007,135195,10039,6791,443,151582,6929277,21876,82.4,85.8,184002,26554,1.7,1.3
31,North West,2008,138380,9998,6694,415,154657,6958547,22225,85.2,84.6,181433,26073,-1.4,-1.8
32,North West,2009,137556,8743,6788,463,152624,6986156,21847,87.8,81.1,173861,24886,-4.2,-4.6
33,North West,2010,140447,10444,7200,491,157600,7019921,22450,87.6,83.9,179841,25619,3.4,2.9
34,North West,2011,141431,12140,7516,459,160628,7055961,22765,88.6,84.5,181287,25693,0.8,0.3
35,North West,2012,145755,12348,7631,489,165244,7079344,23342,89.5,86.1,184722,26093,1.9,1.6
36,North West,2013,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
37,North West,2014,156757,13527,8261,535,178009,7141096,24927,92.0,90.2,193434,27087,3.0,2.5
38,North West,2015,162842,13972,8432,632,184614,7182651,25703,93.0,92.5,198455,27630,2.6,2.0
39,North West,2016,168574,14679,8868,686,191435,7234141,26463,94.9,94.1,201726,27885,1.6,0.9
40,North West,2017,176776,15241,9119,782,200353,7275765,27537,96.2,97.1,208190,28614,3.2,2.6
41,North West,2018,181259,15641,9345,914,205332,7316116,28066,97.8,97.9,210014,28706,0.9,0.3
42,North West,2019,189804,16081,9519,944,214459,7363267,29126,100.0,100.0,214459,29126,2.1,1.5
43,North West,2020,185450,14656,8508,1400,207214,7380605,28076,106.7,90.6,194281,26323,-9.4,-9.6
44,North West,2021,199671,17050,9300,1082,224940,7424092,30299,105.4,99.5,213457,28752,9.9,9.2
45,North West,2022,219707,19921,9837,2266,247199,7516113,32889,110.6,104.3,223589,29748,4.7,3.5
46,Yorkshire and The Humber,2000,66862,5056,4187,514,75592,4958609,15245,69.1,74.6,109456,22074,3.1,3.0
47,Yorkshire and The Humber,2001,70274,5150,4178,523,79078,4976643,15890,69.9,77.1,113101,22726,3.3,3.0
48,Yorkshire and The Humber,2002,74231,5505,4320,695,83361,5000111,16672,71.7,79.3,116328,23265,2.9,2.4
49,Yorkshire and The Humber,2003,79287,6063,4402,774,88977,5026314,17702,73.5,82.5,121075,24088,4.1,3.5
50,Yorkshire and The Humber,2004,83764,6617,4633,795,94219,5063199,18609,75.5,85.1,124843,24657,3.1,2.4
51,Yorkshire and The Humber,2005,87994,6839,4590,571,98853,5108408,19351,78.0,86.4,126797,24821,1.6,0.7
52,Yorkshire and The Humber,2006,92371,7228,4640,658,103581,5134016,20175,79.9,88.4,129647,25253,2.2,1.7
53,Yorkshire and The Humber,2007,97637,7476,4754,613,109253,5164138,21156,81.9,90.9,133407,25833,2.9,2.3
54,Yorkshire and The Humber,2008,98981,7347,4667,551,110444,5198675,21245,85.2,88.3,129571,24924,-2.9,-3.5
55,Yorkshire and The Humber,2009,97147,6184,4761,622,107470,5223344,20575,87.6,83.6,122662,23483,-5.3,-5.8
56,Yorkshire and The Humber,2010,97817,7411,5062,640,109650,5254788,20867,88.1,84.9,124477,23688,1.5,0.9
57,Yorkshire and The Humber,2011,99395,8657,5333,583,112802,5288212,21331,88.5,86.9,127487,24108,2.4,1.8
58,Yorkshire and The Humber,2012,101772,8875,5441,582,115505,5313486,21738,89.3,88.2,129370,24347,1.5,1.0
59,Yorkshire and The Humber,2013,104474,9187,5718,542,118836,5335092,22274,90.8,89.2,130812,24519,1.1,0.7
60,Yorkshire and The Humber,2014,107663,9671,6017,540,122810,5356428,22928,92.0,91.0,133519,24927,2.1,1.7
61,Yorkshire and The Humber,2015,112316,10221,6151,627,128061,5377362,23815,93.0,93.8,137674,25602,3.1,2.7
62,Yorkshire and The Humber,2016,114466,10730,6702,681,131216,5408058,24263,94.0,95.1,139540,25802,1.4,0.8
63,Yorkshire and The Humber,2017,120103,11328,6968,773,137625,5427784,25356,95.9,97.9,143545,26446,2.9,2.5
64,Yorkshire and The Humber,2018,123864,11744,7028,808,141828,5443883,26053,97.5,99.2,145470,26722,1.3,1.0
65,Yorkshire and The Humber,2019,128454,12061,7094,912,146697,5464651,26845,100.0,100.0,146697,26845,0.8,0.5
66,Yorkshire and The Humber,2020,123702,10541,6333,1226,139350,5468487,25482,106.5,89.2,130875,23933,-10.8,-10.8
