,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
0,2017,North East,A,   1,2,655,*
1,2017,North East,A,   2-4,3,710,248
2,2017,North East,A,   5-9,1,180,*
3,2017,North East,A,   10-19,*,60,*
4,2017,North East,A,   20-49,1,20,*
5,2017,North East,A,   50-99,*,5,*
6,2017,North East,A,   100-199,*,0,*
7,2017,North East,A,   200-249,0,0,0
8,2017,North East,A,   250-499,0,0,0
9,2017,North East,A,   500 or more,0,0,0
10,2017,North East,B,   1,0,10,*
11,2017,North East,B,   2-4,0,100,*
12,2017,North East,B,   5-9,*,40,161
13,2017,North East,B,   10-19,1,40,157
14,2017,North East,B,   20-49,1,20,88
15,2017,North East,B,   50-99,1,10,120
16,2017,North East,B,   100-199,1,5,289
17,2017,North East,B,   200-249,0,0,0
18,2017,North East,B,   250-499,*,0,*
19,2017,North East,B,   500 or more,*,0,*
20,2017,North East,C,   1,0,195,22
21,2017,North East,C,   2-4,3,1015,244
22,2017,North East,C,   5-9,4,550,300
23,2017,North East,C,   10-19,6,440,543
24,2017,North East,C,   20-49,10,320,1090
25,2017,North East,C,   50-99,12,170,1640
26,2017,North East,C,   100-199,12,80,1658
27,2017,North East,C,   200-249,4,15,901
28,2017,North East,C,   250-499,11,35,1825
29,2017,North East,C,   500 or more,30,20,10617
30,2017,North East,F,   1,2,885,*
31,2017,North East,F,   2-4,7,2585,773
32,2017,North East,F,   5-9,5,785,577
33,2017,North East,F,   10-19,6,410,707
34,2017,North East,F,   20-49,6,205,835
35,2017,North East,F,   50-99,4,55,975
36,2017,North East,F,   100-199,3,20,563
37,2017,North East,F,   200-249,*,10,*
38,2017,North East,F,   250-499,*,5,*
39,2017,North East,F,   500 or more,*,5,*
40,2017,North East,G,   1,2,985,*
41,2017,North East,G,   2-4,12,3510,1375
42,2017,North East,G,   5-9,11,1630,1448
43,2017,North East,G,   10-19,10,740,1463
44,2017,North East,G,   20-49,10,325,1796
45,2017,North East,G,   50-99,5,75,1023
46,2017,North East,G,   100-199,4,30,951
47,2017,North East,G,   200-249,1,5,*
48,2017,North East,G,   250-499,5,15,1234
49,2017,North East,G,   500 or more,39,10,5589
50,2017,North East,H,   1,*,195,*
51,2017,North East,H,   2-4,2,545,172
52,2017,North East,H,   5-9,2,250,238
53,2017,North East,H,   10-19,2,130,138
54,2017,North East,H,   20-49,3,100,336
55,2017,North East,H,   50-99,2,35,313
56,2017,North East,H,   100-199,2,20,286
57,2017,North East,H,   200-249,*,0,*
58,2017,North East,H,   250-499,2,5,*
59,2017,North East,H,   500 or more,27,10,2114
